name,fld,bsr
Bobby Witt,0.1226949,0.03115713
Aaron Judge,0.0185915,-0.0055333
Yordan Alvarez,-0.0113271,-0.0042092
Pete Crow-Armstrong,0.13046943,0.00831688
Shohei Ohtani,0.0,0.00821839
Elly De La Cruz,0.04309159,0.00786715
Corbin Carroll,0.03741791,0.01721647
James Wood,-0.0144906,0.00834682
Brice Turang,0.01427928,0.01580869
Jose Ramirez,0.04063879,0.03608713
Ben Rice,-0.0068823,-0.0014
Shea Langeliers,-0.0133892,-0.0037055
Cody Bellinger,0.06962632,-0.0006019
Andy Pages,0.04766878,-0.0026844
Matt Olson,0.05426904,-0.001107
Michael Harris,0.05483171,0.00349808
Juan Soto,-0.0275585,0.00720108
Nick Kurtz,-0.0166479,0.00036809
Adley Rutschman,0.0541012,-0.0089441
JJ Wetherholt,0.08778759,0.01338212
CJ Abrams,-0.0596726,0.00699853
William Contreras,0.02954822,-0.0068549
Xavier Edwards,0.0240473,0.00889236
Julio Rodriguez,-0.0218199,0.00727057
Fernando Tatis,0.08635714,0.0039
Colson Montgomery,0.08130278,-0.0064695
Kevin McGonigle,0.01029828,0.01144789
Mike Trout,-0.0255609,0.00467704
Drake Baldwin,-0.0077272,-0.0084163
Gunnar Henderson,0.00408964,0.00238452
Junior Caminero,-0.0839745,-0.0103259
Max Muncy,0.04023633,-0.0036281
Otto Lopez,0.01276415,0.00296713
Byron Buxton,0.0125663,0.01604913
Luis Arraez,0.01630131,0.0035684
Ceddanne Rafaela,0.08731118,-0.0044753
Riley Greene,-0.00148,-0.0085497
Willson Contreras,0.0222863,-0.0067396
Yandy Diaz,0.0,-0.0048025
Freddie Freeman,0.01654544,0.00021229
Kyle Schwarber,-0.0095024,-0.0026029
Miguel Vargas,-0.0325585,0.00855403
Dillon Dingler,0.05705806,-0.0052328
Randy Arozarena,-0.024741,0.02454815
Ian Happ,0.02921609,-0.0007871
Nico Hoerner,0.06884103,0.01561846
Pete Alonso,0.02089796,-0.0018375
