name|team|osw|zsw|swstr|zone
Nick Morabito|NYM|45.7|27.8|26.4|34
Sean Murphy|ATL|52.2|57.1|25|47.7
Alika Williams|ATH|37.5|46.7|15.4|38.5
Jeimer Candelario|LAA|41.9|70|26.5|48.2
Alex Jackson|MIN|41.7|60|20.4|51
Gabriel Arias|CLE|28.6|68.6|18|39.8
Esmerlyn Valdez|PIT|34.1|58.1|18.7|41.3
Kyle Farmer|ATL|58.6|57.1|16|42
Jose Siri|LAA|45.7|65.9|20.7|47.1
Zach Cole|HOU|30.6|59.2|18.3|44.7
Zach Dezenzo|HOU|33|56.2|13.6|44.9
Greg Jones|MIL|40|64.1|18.9|52.7
Shay Whitcomb|HOU|47.5|69.6|25.4|36.5
Taylor Trammell|HOU|30.1|68.9|16.4|42.3
Tommy Pham|NYM|34.4|57.1|13.3|46.7
Ryan Waldschmidt|ARI|27.6|59.9|13|42.5
Juan Brito|CLE|36.4|67.4|14.9|39.1
Kyle Higashioka|TEX|32.5|58.5|13.6|40.2
Oneil Cruz|PIT|34|61.1|15.6|39.5
James McCann|ARI|45.2|62.1|15.1|43.3
Christopher Morel|MIA|39.6|68|16.2|40.2
Matt Wallner|MIN|34.5|76.9|21.5|41.6
Joey Wiemer|WSN|28.1|57.4|12.2|40.6
Reese McGuire|CHW|43.6|54.5|10|50
Jake Burger|TEX|40.4|66|17|40.6
Brice Matthews|HOU|27|66.3|16.2|43.5
Luke Raley|SEA|36|77.4|21.9|42.3
Bryce Johnson|SDP|36.8|62.5|16.7|42.4
Griffin Conine|MIA|34.5|71.4|20|38.9
Rece Hinds|CIN|44.4|77.6|23.6|33.1
Max Muncy|ATH|40.5|65.9|16.8|41.3
Brent Rooker|ATH|33.9|70.5|17.9|41.9
Giancarlo Stanton|NYY|32.9|61.6|15.6|41.4
Eugenio Suárez|CIN|31|65.5|13.9|41.5
Jackson Holliday|BAL|23.7|69.4|13.2|39
Jake Rogers|DET|29.9|59|12|43.4
Joey Loperfido|HOU|36.5|64.9|15.6|41.1
Austin Hays|CHW|41.7|71.4|18.7|38
Yoán Moncada|LAA|23.4|59.2|10.5|43.5
Munetaka Murakami|CHW|23.8|66.7|16.2|41.4
P.J. Higgins|CIN|23.3|60|10.5|42.9
Oliver Dunn|TBR|31.6|60|8.8|44.1
Denzel Clarke|ATH|25.4|66|15.3|41.3
Alex Freeland|LAD|21.1|63.2|10.5|41.4
Ryan McMahon|NYY|31.8|63.8|13|43.8
Kazuma Okamoto|TOR|28.7|67.8|14.4|41.9
Elly De La Cruz|CIN|29.8|57.1|11.4|41.6
Tanner Murray|CHW|36.5|65|15.5|38.8
Justin Foscue|TEX|30.8|58.6|9.6|45.2
Chadwick Tromp|ATL|54.2|55.3|14.4|39.2
Owen Caissie|MIA|32|65.2|14.8|41.4
Colton Cowser|BAL|30.4|64.9|14.2|39.8
Jose Trevino|CIN|43.2|68.1|13.2|51.6
Coby Mayo|BAL|30.9|60.9|11.8|42.7
Starling Marte|KCR|34.1|66.4|12.7|43.7
Hao-Yu Lee|DET|29.3|71.7|14.1|44.2
Jarren Duran|BOS|35.2|64.2|14.7|40.7
Nolan Gorman|STL|33.2|73.6|17.9|41.6
Weston Wilson|BAL|29.7|61.2|12.2|43.4
Jackson Chourio|MIL|37.5|58.3|11.5|39.3
Garrett Mitchell|MIL|24.4|64.6|14.3|41.5
Jose Fernandez|ARI|38.2|58.1|11|42.9
Royce Lewis|MIN|34.5|70.5|16.5|39.2
Braxton Fulford|COL|34.5|67.7|17.4|36
Felix Reyes|PHI|54.1|65.9|15.3|37.3
Jorge Soler|LAA|32|69.6|15.8|41.5
Trevor Larnach|MIN|30.5|57.8|11.3|42.2
Christian Yelich|MIL|27.5|68.2|14.6|45.4
Esteury Ruiz|MIA|33|70.8|17.2|44.9
Ian Happ|CHC|28.6|63.3|13.4|42.2
Pedro Pagés|STL|38|66.3|12.9|41.2
Marcell Ozuna|PIT|28.2|62.1|11.8|40.7
James Outman|MIN|34|79.2|20.1|43
Blake Dunn|CIN|36.1|64.5|13.4|42.1
Leo Rivas|SEA|21|55|8.2|42.9
Adolis García|PHI|32.3|63.8|13.7|37.7
Bryce Teodosio|LAA|38.5|67.9|17.5|45.8
A.J. Ewing|NYM|28.3|58.2|9.4|41.6
Daniel Schneemann|CLE|34.8|66.5|14.1|42.1
Roman Anthony|BOS|23.5|54.6|9.5|44
Harrison Bader|SFG|43.1|68.7|15.9|39.4
Mitch Garver|SEA|26.6|66|13.6|40.1
Otto Kemp|PHI|37.5|70|17.5|33.3
Konnor Griffin|PIT|39.4|67.2|15.2|41
José Tena|WSN|35.4|69.9|16.7|41
Austin Slater|2 Tms|27.7|62|11.6|39.9
Jorge Barrosa|ARI|35|56.8|10.7|37.9
Brandon Lockridge|MIL|32.4|58.9|9.9|42.4
Joey Bart|PIT|34.5|62.7|11.5|41.8
Kerry Carpenter|DET|36.9|63.7|15.4|36.5
Nicky Lopez|2 Tms|43.3|68.4|13.3|38.8
Chase Meidroth|CHW|28.8|54.8|6.5|42
Gary Sánchez|MIL|21.4|57.2|9.3|39.4
CJ Kayfus|CLE|38.2|80|19.4|37
Jazz Chisholm Jr.|NYY|31.2|59.9|12.4|43.3
Jarred Kelenic|CHW|30.6|69.6|15.5|40.7
Hyeseong Kim|LAD|32.4|64.5|11.7|44.3
Brandon Lowe|PIT|34|67|15.3|41.7
Hunter Goodman|COL|44.4|72.5|17.6|38.2
Rikuu Nishida|CHW|31.3|51.4|5.8|53.6
Jacob Young|WSN|28.2|59.5|7.7|46
James Wood|WSN|23.7|59.2|10.9|40
Carlos Narváez|BOS|39.1|69.9|14|43.8
Sandy León|ATL|43.4|75|14.7|47.5
Trevor Story|BOS|47.2|69|15.6|36.9
Evan Carter|TEX|23.5|62.5|9.8|43.8
Mike Yastrzemski|ATL|30.9|58.2|9.1|43.3
MJ Melendez|NYM|32|67.7|15|42.5
Carlos Santana|ARI|36.1|71.1|14.2|42.5
Davis Schneider|TOR|22|59.9|10.3|39.4
Masyn Winn|STL|27.8|61.3|8.8|42
Bryson Stott|PHI|34.4|53.4|6.6|45
Ben Williamson|TBR|32.1|52.6|6.7|40.4
Brady House|WSN|35.8|74.4|15.9|42.5
Ha-Seong Kim|ATL|28.6|62.8|7.8|45.6
David Fry|CLE|28.9|60.6|11.7|39.9
Blake Perkins|MIL|32.7|55.5|9.9|43.7
Ke'Bryan Hayes|CIN|30|59.6|7.9|43.6
J.C. Escarra|NYY|29.8|67|13.2|43.6
Nick Kurtz|ATH|23.5|65.7|13.2|39.1
Drew Millas|WSN|29.7|62.3|8.8|45.2
Alex Bregman|CHC|24.2|58.5|7|45.2
Rodolfo Durán|SDP|23.4|69.8|12.1|40.2
Austin Wynns|ATH|42.2|71.8|14.3|46.1
Connor Wong|BOS|38.7|64.5|12.2|39.6
Taylor Ward|BAL|13.6|53.4|4.8|42.4
Jac Caglianone|KCR|34.6|65.2|14.2|39.8
Kyle Manzardo|CLE|31.9|65.6|13.6|40
Joc Pederson|TEX|28.9|63.7|12.7|42.4
Dominic Canzone|SEA|33.8|63.1|12.8|41.2
Willy Adames|SFG|34.2|68.3|12.5|42.8
Jordan Lawlar|ARI|26.3|64.7|13.2|37.4
Bryan Torres|STL|31.9|61.2|10.2|41.5
Aaron Judge|NYY|29.1|63.5|12.8|39.6
Jhostynxon Garcia|PIT|48.4|77.8|18.4|36.7
TJ Friedl|CIN|31|61.4|10.9|41.7
Aramis Garcia|ARI|48|57.9|13.6|43.2
Wyatt Langford|TEX|31.7|66.9|10.8|43.8
Brett Baty|NYM|28.3|67.4|12.1|42.7
Isaac Collins|KCR|21.8|61.5|9.5|41.6
Kyle Schwarber|PHI|28.5|65.1|13.3|40.4
Jared Triolo|PIT|29.4|58.7|8.8|45.5
Gavin Sheets|SDP|34.7|54.9|7.8|39.3
Seiya Suzuki|CHC|26.7|62.4|10|42.1
Spencer Torkelson|DET|22.4|67.1|11.6|43.1
Tristan Gray|MIN|42.1|75.4|17.8|42
Ezequiel Duran|TEX|36.4|67.2|12.8|41.4
Rob Refsnyder|SEA|22.7|70.5|9.5|41.8
Matt McLain|CIN|28.4|62|9.2|41.7
Max Muncy|LAD|28.2|66|11.5|43.4
Luis Matos|MIL|51.1|76|18.1|34.7
Cam Smith|HOU|32.1|64.9|13.3|41.8
Adrian Del Castillo|ARI|32.9|67.8|13.2|42.1
Jordan Beck|COL|43.8|70.2|15|38.6
Maikel Garcia|KCR|23.8|57.1|5.4|44.1
Drew Gilbert|SFG|33.9|59.3|9.8|43.6
Rafael Devers|SFG|35.1|71.4|14.5|43
Michael Conforto|CHC|25|63.5|11.3|44.5
Samuel Basallo|BAL|41|66.8|14.6|38.3
José Azócar|ATL|47.2|69.2|14.5|41.9
José Fermín|STL|25.3|54|4.5|41.4
Victor Caratini|MIN|31.4|59.2|8.6|41.2
Adam Frazier|LAA|40.1|69.9|13|43.2
Colt Keith|DET|25.1|62.6|9.1|45.9
Randy Arozarena|SEA|35.2|67.1|12.3|40.7
Willson Contreras|BOS|34.5|67.7|13.8|38.7
Eric Haase|SFG|34.2|74.2|14.8|45.9
Dane Myers|CIN|20.7|56.4|6.2|44.7
Carson Williams|TBR|39.7|70.9|15.3|46.6
Patrick Wisdom|SEA|38.9|73.3|16.7|45.5
Tyler Stephenson|CIN|25.5|68.6|11.5|44.8
Sam Haggerty|TEX|34.8|72|15|44.9
Austin Riley|ATL|35.4|68.5|13.9|38.1
Francisco Alvarez|NYM|32.5|62.8|11.6|41.4
Luis Campusano|SDP|35.7|68.8|13.5|41.9
Otto Lopez|MIA|37.2|62.1|8.8|41.9
Gabriel Moreno|ARI|38.4|56.2|8.4|37.7
Jonathan India|KCR|18.7|65|8|43.5
