name_key,name,fld_proj_pg,bsr_proj_pg
pete crowarmstrong,Pete Crow-Armstrong,0.136,0.023
bobby witt,Bobby Witt,0.121,0.038
jj wetherholt,JJ Wetherholt,0.117,0.015
ceddanne rafaela,Ceddanne Rafaela,0.111,0.005
tyler heineman,Tyler Heineman,0.11,-0.004
rafael marchan,Rafael Marchan,0.103,-0.005
luis torrens,Luis Torrens,0.099,-0.003
eli white,Eli White,0.095,0.022
wilyer abreu,Wilyer Abreu,0.091,-0.007
wyatt langford,Wyatt Langford,0.09,0.017
alejandro kirk,Alejandro Kirk,0.085,-0.013
cody bellinger,Cody Bellinger,0.084,-0.001
jacob young,Jacob Young,0.082,0.017
ty france,Ty France,0.082,-0.018
patrick bailey,Patrick Bailey,0.081,-0.009
chandler simpson,Chandler Simpson,0.072,0.016
jarren duran,Jarren Duran,0.071,0.026
victor mesa,Victor Mesa,0.071,-0.012
dansby swanson,Dansby Swanson,0.071,0.027
mauricio dubon,Mauricio Dubon,0.071,-0.004
andres gimenez,Andres Gimenez,0.07,0.01
maikel garcia,Maikel Garcia,0.069,0.002
anthony volpe,Anthony Volpe,0.068,0.001
joe mack,Joe Mack,0.068,-0.003
masyn winn,Masyn Winn,0.067,0.003
daniel schneemann,Daniel Schneemann,0.067,-0.005
joey ortiz,Joey Ortiz,0.067,-0.014
blake dunn,Blake Dunn,0.065,0.001
corbin carroll,Corbin Carroll,0.065,0.023
andy pages,Andy Pages,0.065,-0.01
daniel susac,Daniel Susac,0.065,-0.011
michael massey,Michael Massey,0.063,-0.005
derek hill,Derek Hill,0.062,0.006
gabriel moreno,Gabriel Moreno,0.062,-0.004
geraldo perdomo,Geraldo Perdomo,0.062,-0.009
isiah kinerfalefa,Isiah Kiner-Falefa,0.061,0.02
matt chapman,Matt Chapman,0.061,-0.013
jose ramirez,Jose Ramirez,0.059,0.046
michael harris,Michael Harris,0.059,-0.002
nico hoerner,Nico Hoerner,0.058,0.014
joey loperfido,Joey Loperfido,0.058,0.001
brice matthews,Brice Matthews,0.058,-0.009
jose trevino,Jose Trevino,0.058,-0.01
roman anthony,Roman Anthony,0.057,0.009
colton cowser,Colton Cowser,0.056,0.001
seiya suzuki,Seiya Suzuki,0.056,-0.014
mookie betts,Mookie Betts,0.055,-0.011
cam smith,Cam Smith,0.054,0.017
brice turang,Brice Turang,0.054,0.016
adley rutschman,Adley Rutschman,0.054,-0.013
dylan crews,Dylan Crews,0.053,0.018
ezequiel duran,Ezequiel Duran,0.053,0.007
steven kwan,Steven Kwan,0.053,0.005
adolis garcia,Adolis Garcia,0.053,0.004
elly de la cruz,Elly De La Cruz,0.051,0.011
tristan peters,Tristan Peters,0.051,0.008
kebryan hayes,Ke'Bryan Hayes,0.051,0.003
edwin arroyo,Edwin Arroyo,0.051,-0.011
fernando tatis,Fernando Tatis,0.05,0.005
cooper pratt,Cooper Pratt,0.049,0.035
brandon lowe,Brandon Lowe,0.049,-0.001
jacob wilson,Jacob Wilson,0.049,-0.002
caleb durbin,Caleb Durbin,0.048,0.014
matt shaw,Matt Shaw,0.048,-0.002
cole carrigg,Cole Carrigg,0.048,-0.003
brayan rocchio,Brayan Rocchio,0.047,0.005
nathan lukes,Nathan Lukes,0.047,-0.015
alex bregman,Alex Bregman,0.046,-0.006
dillon dingler,Dillon Dingler,0.045,-0.003
xander bogaerts,Xander Bogaerts,0.045,0.013
ildemaro vargas,Ildemaro Vargas,0.044,0.004
starling marte,Starling Marte,0.043,-0.03
jonny deluca,Jonny DeLuca,0.043,0.017
kody clemens,Kody Clemens,0.043,0.0
vladimir guerrero,Vladimir Guerrero,0.041,0.0
gabriel arias,Gabriel Arias,0.041,-0.001
paul goldschmidt,Paul Goldschmidt,0.041,-0.001
zach mckinstry,Zach McKinstry,0.041,-0.01
jorge mateo,Jorge Mateo,0.041,0.033
ryan waldschmidt,Ryan Waldschmidt,0.041,0.016
matt olson,Matt Olson,0.04,-0.002
connor norby,Connor Norby,0.04,-0.003
lars nootbaar,Lars Nootbaar,0.04,-0.008
evan carter,Evan Carter,0.039,0.025
pedro pages,Pedro Pages,0.039,0.004
brandon valenzuela,Brandon Valenzuela,0.039,-0.001
alex call,Alex Call,0.039,-0.001
pavin smith,Pavin Smith,0.038,-0.016
cedric mullins,Cedric Mullins,0.037,0.002
daylen lile,Daylen Lile,0.037,-0.003
nolan arenado,Nolan Arenado,0.037,-0.005
luis arraez,Luis Arraez,0.037,0.013
jackson chourio,Jackson Chourio,0.037,0.011
freddy fermin,Freddy Fermin,0.036,-0.006
jake meyers,Jake Meyers,0.036,-0.02
tim tawa,Tim Tawa,0.036,-0.031
miguel rojas,Miguel Rojas,0.035,-0.017
tj rumfield,TJ Rumfield,0.035,-0.014
austin martin,Austin Martin,0.035,-0.018
jc escarra,J.C. Escarra,0.034,0.005
manny machado,Manny Machado,0.034,-0.015
otto lopez,Otto Lopez,0.033,0.021
alek thomas,Alek Thomas,0.033,0.019
nasim nunez,Nasim Nunez,0.032,0.057
jake rogers,Jake Rogers,0.032,0.003
alex freeland,Alex Freeland,0.031,0.003
jared young,Jared Young,0.031,-0.001
michael busch,Michael Busch,0.031,-0.013
santiago espinal,Santiago Espinal,0.031,-0.031
francisco lindor,Francisco Lindor,0.03,0.001
ryan mcmahon,Ryan McMahon,0.03,-0.006
myles straw,Myles Straw,0.029,0.005
will smith,Will Smith,0.029,-0.017
henry bolte,Henry Bolte,0.027,0.011
christian walker,Christian Walker,0.027,-0.004
tj friedl,TJ Friedl,0.027,0.015
graham pauley,Graham Pauley,0.027,0.0
joey wiemer,Joey Wiemer,0.026,0.017
ian happ,Ian Happ,0.026,-0.003
henry davis,Henry Davis,0.026,-0.005
jose siri,Jose Siri,0.025,-0.007
zack gelof,Zack Gelof,0.025,0.019
colson montgomery,Colson Montgomery,0.025,-0.01
cal raleigh,Cal Raleigh,0.024,-0.007
angel martinez,Angel Martinez,0.023,0.011
darell hernaiz,Darell Hernaiz,0.023,0.001
harrison bader,Harrison Bader,0.023,-0.007
nolan schanuel,Nolan Schanuel,0.023,-0.009
ryan kreidler,Ryan Kreidler,0.023,-0.02
kyle isbel,Kyle Isbel,0.021,0.019
javier sanoja,Javier Sanoja,0.021,-0.002
jazz chisholm,Jazz Chisholm,0.021,0.035
jackson merrill,Jackson Merrill,0.021,0.029
cole young,Cole Young,0.021,-0.01
miguel amaya,Miguel Amaya,0.021,-0.011
nick allen,Nick Allen,0.02,0.013
tommy troy,Tommy Troy,0.02,-0.003
freddie freeman,Freddie Freeman,0.02,-0.003
mike yastrzemski,Mike Yastrzemski,0.019,0.002
jake burger,Jake Burger,0.019,-0.001
orlando arcia,Orlando Arcia,0.019,-0.058
corey seager,Corey Seager,0.019,-0.008
oswald peraza,Oswald Peraza,0.018,0.017
nolan gorman,Nolan Gorman,0.018,-0.013
brandon lockridge,Brandon Lockridge,0.017,0.032
victor robles,Victor Robles,0.017,0.015
daulton varsho,Daulton Varsho,0.017,0.013
josh lowe,Josh Lowe,0.017,0.011
victor scott,Victor Scott,0.017,0.011
jose fernandez,Jose Fernandez,0.017,0.007
austin wells,Austin Wells,0.017,-0.002
kyle stowers,Kyle Stowers,0.017,-0.003
ketel marte,Ketel Marte,0.016,0.003
matt mclain,Matt McLain,0.016,0.003
jorbit vivas,Jorbit Vivas,0.016,-0.007
carlos narvaez,Carlos Narvaez,0.015,-0.01
ramon laureano,Ramon Laureano,0.015,0.005
gleyber torres,Gleyber Torres,0.015,-0.027
pete alonso,Pete Alonso,0.014,-0.008
jared triolo,Jared Triolo,0.013,0.013
austin hedges,Austin Hedges,0.013,-0.016
taylor walls,Taylor Walls,0.013,0.021
byron buxton,Byron Buxton,0.013,0.007
austin slater,Austin Slater,0.012,0.027
sal frelick,Sal Frelick,0.012,0.007
kyle karros,Kyle Karros,0.011,0.007
kevin mcgonigle,Kevin McGonigle,0.011,0.025
zach cole,Zach Cole,0.011,0.005
casey schmitt,Casey Schmitt,0.011,0.003
leo rivas,Leo Rivas,0.01,0.019
carson benge,Carson Benge,0.01,0.019
jake mangum,Jake Mangum,0.01,0.018
kazuma okamoto,Kazuma Okamoto,0.01,-0.012
mj melendez,MJ Melendez,0.01,-0.015
xavier edwards,Xavier Edwards,0.009,0.011
ezequiel tovar,Ezequiel Tovar,0.009,0.007
nathan church,Nathan Church,0.009,0.001
christian vazquez,Christian Vazquez,0.009,-0.005
william contreras,William Contreras,0.009,-0.017
bryson stott,Bryson Stott,0.009,0.039
chase meidroth,Chase Meidroth,0.008,-0.006
aaron judge,Aaron Judge,0.007,-0.006
jahmai jones,Jahmai Jones,0.007,-0.021
liam hicks,Liam Hicks,0.007,-0.022
sal stewart,Sal Stewart,0.006,-0.001
thomas saggese,Thomas Saggese,0.006,-0.021
tommy edman,Tommy Edman,0.005,0.003
luis garcia,Luis Garcia,0.005,-0.002
danny jansen,Danny Jansen,0.005,-0.012
willson contreras,Willson Contreras,0.005,-0.013
brenton doyle,Brenton Doyle,0.005,0.021
carlos correa,Carlos Correa,0.005,0.002
chase delauter,Chase DeLauter,0.005,-0.003
keibert ruiz,Keibert Ruiz,0.005,-0.025
jt realmuto,J.T. Realmuto,0.004,0.007
isaac paredes,Isaac Paredes,0.004,-0.009
andrew mccutchen,Andrew McCutchen,0.003,-0.011
colt keith,Colt Keith,0.003,0.011
will benson,Will Benson,0.003,-0.001
justin foscue,Justin Foscue,0.003,-0.003
dominic smith,Dominic Smith,0.003,-0.008
gunnar henderson,Gunnar Henderson,0.002,0.003
moises ballesteros,Moises Ballesteros,0.002,0.0
dominic canzone,Dominic Canzone,0.002,-0.006
max muncy,Max Muncy,0.002,-0.009
jordan beck,Jordan Beck,0.001,0.006
riley greene,Riley Greene,0.001,-0.007
bo bichette,Bo Bichette,0.001,-0.009
christian yelich,Christian Yelich,0.001,0.008
rafael devers,Rafael Devers,0.001,-0.007
hunter goodman,Hunter Goodman,0.001,-0.019
wade meckler,Wade Meckler,0.0,0.011
shohei ohtani,Shohei Ohtani,0.0,0.004
george springer,George Springer,0.0,-0.001
giancarlo stanton,Giancarlo Stanton,0.0,-0.007
marcell ozuna,Marcell Ozuna,0.0,-0.008
yandy diaz,Yandy Diaz,0.0,-0.011
brent rooker,Brent Rooker,-0.001,0.005
drew romo,Drew Romo,-0.001,0.001
ozzie albies,Ozzie Albies,-0.001,-0.009
munetaka murakami,Munetaka Murakami,-0.001,-0.02
hyeseong kim,Hyeseong Kim,-0.002,0.025
james outman,James Outman,-0.002,0.013
blake perkins,Blake Perkins,-0.002,0.004
taylor ward,Taylor Ward,-0.002,-0.022
vinnie pasquantino,Vinnie Pasquantino,-0.003,0.0
jeremy pena,Jeremy Pena,-0.003,0.024
brett baty,Brett Baty,-0.003,0.005
heriberto hernandez,Heriberto Hernandez,-0.003,-0.004
shea langeliers,Shea Langeliers,-0.003,-0.004
garrett mitchell,Garrett Mitchell,-0.003,-0.006
miguel vargas,Miguel Vargas,-0.004,0.005
adrian del castillo,Adrian Del Castillo,-0.004,-0.006
luis robert,Luis Robert,-0.004,-0.017
joc pederson,Joc Pederson,-0.005,-0.005
josh bell,Josh Bell,-0.005,-0.01
kyle manzardo,Kyle Manzardo,-0.005,-0.011
elias diaz,Elias Diaz,-0.005,-0.026
edmundo sosa,Edmundo Sosa,-0.005,0.01
brandon nimmo,Brandon Nimmo,-0.005,0.0
jonathan aranda,Jonathan Aranda,-0.005,-0.014
zach dezenzo,Zach Dezenzo,-0.006,0.014
tyrone taylor,Tyrone Taylor,-0.006,-0.015
ramon urias,Ramon Urias,-0.006,-0.017
ryan jeffers,Ryan Jeffers,-0.007,-0.01
samuel basallo,Samuel Basallo,-0.007,-0.011
aj ewing,A.J. Ewing,-0.007,-0.005
jeremiah jackson,Jeremiah Jackson,-0.008,-0.007
ben williamson,Ben Williamson,-0.009,0.017
mickey moniak,Mickey Moniak,-0.009,0.006
luis rengifo,Luis Rengifo,-0.009,-0.01
kyle schwarber,Kyle Schwarber,-0.009,-0.01
teoscar hernandez,Teoscar Hernandez,-0.009,0.003
jac caglianone,Jac Caglianone,-0.009,0.002
nick kurtz,Nick Kurtz,-0.009,-0.001
brandon marsh,Brandon Marsh,-0.01,0.001
andrew vaughn,Andrew Vaughn,-0.01,-0.009
jose tena,Jose Tena,-0.011,0.009
ryan vilade,Ryan Vilade,-0.011,0.007
lourdes gurriel,Lourdes Gurriel,-0.011,0.004
david hamilton,David Hamilton,-0.012,0.025
julio rodriguez,Julio Rodriguez,-0.012,0.009
marcelo mayer,Marcelo Mayer,-0.012,0.002
josh naylor,Josh Naylor,-0.013,0.001
alec burleson,Alec Burleson,-0.013,0.001
jakob marsee,Jakob Marsee,-0.013,-0.002
david fry,David Fry,-0.013,-0.005
tyler stephenson,Tyler Stephenson,-0.013,-0.016
lenyn sosa,Lenyn Sosa,-0.014,0.001
carter jensen,Carter Jensen,-0.014,-0.001
esteury ruiz,Esteury Ruiz,-0.015,0.072
jake fraley,Jake Fraley,-0.015,0.015
randal grichuk,Randal Grichuk,-0.015,0.004
nick fortes,Nick Fortes,-0.015,-0.01
josh jung,Josh Jung,-0.015,-0.014
austin riley,Austin Riley,-0.016,0.005
tyler soderstrom,Tyler Soderstrom,-0.016,-0.009
gavin sheets,Gavin Sheets,-0.017,-0.002
samad taylor,Samad Taylor,-0.017,0.021
rob refsnyder,Rob Refsnyder,-0.017,-0.004
spencer horwitz,Spencer Horwitz,-0.017,-0.012
jonah heim,Jonah Heim,-0.018,-0.002
nick gonzales,Nick Gonzales,-0.018,-0.003
masataka yoshida,Masataka Yoshida,-0.019,-0.001
kyle tucker,Kyle Tucker,-0.019,0.009
davis schneider,Davis Schneider,-0.019,0.004
matt vierling,Matt Vierling,-0.019,-0.006
troy johnston,Troy Johnston,-0.019,-0.017
drew millas,Drew Millas,-0.019,-0.02
jose caballero,Jose Caballero,-0.02,0.018
spencer steer,Spencer Steer,-0.02,0.008
luis campusano,Luis Campusano,-0.02,-0.001
adam frazier,Adam Frazier,-0.021,-0.003
hunter feduccia,Hunter Feduccia,-0.022,-0.013
drew gilbert,Drew Gilbert,-0.023,-0.019
haseong kim,Ha-Seong Kim,-0.024,-0.006
jorge polanco,Jorge Polanco,-0.024,-0.008
jake mccarthy,Jake McCarthy,-0.025,0.022
blaze alexander,Blaze Alexander,-0.025,0.01
bryan reynolds,Bryan Reynolds,-0.025,0.005
ronny mauricio,Ronny Mauricio,-0.025,-0.003
heliot ramos,Heliot Ramos,-0.025,-0.001
isaac collins,Isaac Collins,-0.025,-0.017
max schuemann,Max Schuemann,-0.026,0.015
michael conforto,Michael Conforto,-0.027,0.003
bryce eldridge,Bryce Eldridge,-0.027,-0.023
jasson dominguez,Jasson Dominguez,-0.027,0.028
colt emerson,Colt Emerson,-0.027,0.008
jordan walker,Jordan Walker,-0.027,0.001
andrew benintendi,Andrew Benintendi,-0.027,-0.005
jeff mcneil,Jeff McNeil,-0.027,-0.013
willi castro,Willi Castro,-0.027,-0.014
mickey gasper,Mickey Gasper,-0.027,-0.017
james wood,James Wood,-0.028,0.013
kyle higashioka,Kyle Higashioka,-0.029,-0.011
randy arozarena,Randy Arozarena,-0.029,0.015
vaughn grissom,Vaughn Grissom,-0.029,-0.003
joey bart,Joey Bart,-0.029,-0.007
carson kelly,Carson Kelly,-0.031,-0.013
royce lewis,Royce Lewis,-0.031,0.017
bo naylor,Bo Naylor,-0.031,0.003
dane myers,Dane Myers,-0.032,0.02
trent grisham,Trent Grisham,-0.032,-0.003
trevor larnach,Trevor Larnach,-0.033,-0.004
bryce harper,Bryce Harper,-0.033,-0.013
luisangel acuna,Luisangel Acuna,-0.034,0.029
travis bazzana,Travis Bazzana,-0.035,0.021
juan soto,Juan Soto,-0.035,-0.004
ivan herrera,Ivan Herrera,-0.035,-0.006
jorge soler,Jorge Soler,-0.035,-0.014
justin crawford,Justin Crawford,-0.036,0.013
marcus semien,Marcus Semien,-0.036,0.004
jung hoo lee,Jung Hoo Lee,-0.036,0.003
ryan ohearn,Ryan O'Hearn,-0.036,-0.017
leody taveras,Leody Taveras,-0.037,0.017
ernie clement,Ernie Clement,-0.037,-0.007
miguel andujar,Miguel Andujar,-0.037,-0.01
victor caratini,Victor Caratini,-0.038,-0.019
drake baldwin,Drake Baldwin,-0.039,-0.01
tyler oneill,Tyler O'Neill,-0.039,-0.001
jo adell,Jo Adell,-0.04,0.001
haoyu lee,Hao-Yu Lee,-0.04,-0.024
connor wong,Connor Wong,-0.041,-0.022
jackson holliday,Jackson Holliday,-0.041,0.004
coby mayo,Coby Mayo,-0.041,0.003
trea turner,Trea Turner,-0.042,0.021
jarred kelenic,Jarred Kelenic,-0.042,-0.036
christopher morel,Christopher Morel,-0.044,0.004
konnor griffin,Konnor Griffin,-0.045,0.061
trevor story,Trevor Story,-0.045,0.021
jake cronenworth,Jake Cronenworth,-0.045,0.009
james mccann,James McCann,-0.045,-0.004
edgar quero,Edgar Quero,-0.045,-0.007
richie palacios,Richie Palacios,-0.046,-0.005
alec bohm,Alec Bohm,-0.046,-0.007
zach neto,Zach Neto,-0.046,-0.011
mike trout,Mike Trout,-0.047,0.005
francisco alvarez,Francisco Alvarez,-0.047,-0.004
lane thomas,Lane Thomas,-0.047,0.001
