pitcher,season,date,team,opp,asof_k_pct,l5_k_pct,asof_bb_pct,l5_bb_pct,asof_k_bb_pct,l5_k_bb_pct,asof_csw,l5_csw,asof_whiff,l5_whiff,asof_velo,l5_velo,asof_spin,l5_spin,asof_gb_pct,l5_gb_pct,asof_fb_pct,l5_fb_pct,asof_barrel_pct,l5_barrel_pct,asof_hardhit_pct,l5_hardhit_pct,asof_xwobacon,l5_xwobacon,asof_fip,l5_fip,asof_xfip,l5_xfip,asof_ra9,l5_ra9,delta_velo,delta_spin,delta_csw,delta_k_bb_pct,fwd30_k_bb_pct,fwd30_xfip,fwd30_ra9,fwd30_fip,fwd30_ip,fwd1_k_bb_pct,fwd1_xfip,fwd1_ra9,fwd1_end
592866,2023,2023-04-08,WSH,COL,15.116,15.116,9.302,9.302,5.814,5.814,21.864,21.864,15.493,15.493,89.576,89.576,2093.41,2093.41,45.312,45.312,46.875,46.875,4.688,4.688,14.062,14.062,0.392,0.392,5.732,5.732,5.355,5.355,5.684,5.684,0.0,0.0,0.0,0.0,9.821,4.141,3.197,4.6,25.3,0.0,4.169,0.0,2023-04-14
592866,2023,2023-04-14,WSH,CLE,15.888,15.888,7.477,7.477,8.411,8.411,22.071,22.071,15.183,15.183,89.465,89.465,2100.118,2100.118,40.741,40.741,44.444,44.444,4.938,4.938,14.815,14.815,0.386,0.386,4.826,4.826,4.901,4.901,4.808,4.808,0.0,0.0,0.0,0.0,12.0,4.332,3.522,4.578,23.0,13.636,4.011,3.0,2023-04-21
592866,2023,2023-04-21,WSH,MIN,14.844,14.851,7.812,6.931,7.031,7.921,21.645,21.739,13.675,13.441,89.408,89.408,2097.986,2097.986,42.268,44.156,39.175,35.065,5.155,6.494,19.588,24.675,0.372,0.372,4.617,4.333,4.783,4.389,4.034,2.219,0.0,0.0,0.094,0.89,12.621,4.115,3.913,4.491,23.0,7.407,4.793,7.2,2023-04-27
592866,2023,2023-04-27,WSH,NYM,15.333,14.0,7.333,6.0,8.0,8.0,22.523,22.09,14.388,13.171,89.352,89.352,2092.288,2092.288,42.982,46.154,39.474,33.333,7.895,11.538,22.807,33.333,0.391,0.391,4.586,4.276,4.651,4.27,3.857,2.554,0.0,0.0,-0.432,0.0,13.131,4.129,3.423,5.044,23.7,14.286,3.564,0.0,2023-05-02
592866,2023,2023-05-02,WSH,CHC,15.254,15.044,7.345,5.31,7.91,9.735,22.923,23.06,14.815,14.783,89.536,89.572,2090.155,2099.565,42.222,41.573,38.519,34.831,8.889,13.483,25.185,33.708,0.405,0.405,4.675,4.485,4.668,4.267,4.275,3.808,0.037,9.41,0.137,1.825,9.804,4.53,5.704,5.931,23.7,14.286,4.247,6.231,2023-05-07
592866,2023,2023-05-07,WSH,AZ,15.657,16.071,7.071,5.357,8.586,10.714,23.202,24.017,15.574,15.625,89.603,89.61,2097.778,2098.951,41.722,39.08,37.748,31.034,8.609,11.494,26.49,35.632,0.399,0.4,4.379,3.404,4.539,3.949,3.772,2.392,0.007,1.173,0.815,2.128,8.333,4.614,5.04,5.94,25.0,11.111,6.087,0.0,2023-05-13
592866,2023,2023-05-13,WSH,NYM,16.438,16.964,7.306,7.143,9.132,9.821,22.965,23.684,14.888,14.623,89.706,89.83,2101.792,2102.654,40.606,40.476,38.182,32.143,10.303,15.476,28.485,41.667,0.405,0.413,4.711,4.6,4.513,4.141,3.987,3.197,0.124,0.862,0.719,0.689,10.656,4.161,5.205,5.883,27.7,16.0,3.179,4.5,2023-05-18
592866,2023,2023-05-18,WSH,MIA,16.228,18.0,7.018,6.0,9.211,12.0,22.611,23.737,14.657,15.873,89.692,89.92,2094.157,2091.088,39.306,35.526,39.884,40.789,10.405,17.105,29.48,42.105,0.396,0.413,4.6,4.578,4.584,4.332,3.808,3.522,0.228,-3.069,1.127,2.789,6.723,4.633,6.231,6.523,26.0,8.696,4.77,4.765,2023-05-24
592866,2023,2023-05-24,WSH,SD,16.601,18.447,6.719,5.825,9.881,12.621,23.295,24.372,15.598,17.368,89.766,90.177,2102.06,2111.759,39.791,35.065,38.743,37.662,9.948,12.987,28.796,37.662,0.384,0.378,4.548,4.491,4.438,4.115,3.879,3.913,0.411,9.699,1.077,2.74,8.547,4.191,5.192,5.254,26.0,0.0,5.344,10.125,2023-05-29
592866,2023,2023-05-29,WSH,LAD,17.029,20.202,7.246,7.071,9.783,13.131,23.378,24.121,15.278,16.111,89.765,90.049,2109.988,2134.519,39.32,33.803,39.32,40.845,10.68,14.085,29.612,38.028,0.388,0.367,4.812,5.044,4.468,4.129,3.958,3.423,0.284,24.531,0.743,3.349,11.404,3.865,4.378,5.573,24.7,7.407,4.683,3.176,2023-06-04
