Player,Damage,Damage_Grade,Eye,Eye_Grade,FLD_150,FLD_Grade,BSR_150,BSR_Grade
A.J. Ewing,19.7,C+,15.6,B+,-1.1,C,-0.7,C
Aaron Judge,36.6,A+,17.7,A-,1.1,C+,-0.9,C
Adam Frazier,12,D+,,,-3.1,C-,-0.5,C+
Adley Rutschman,19.2,C+,10.4,C,8.1,B+,-1.9,D+
Adolis Garcia,23.4,B-,11.8,C+,7.9,B+,0.6,B-
Adrian Del Castillo,20.8,C+,,,-0.6,C+,-0.9,C
Agustin Ramirez,18.3,C,,,-15.9,D-,1,B
Alec Bohm,17.6,C,13.9,B-,-6.9,D+,-1,C
Alec Burleson,27.4,B,7.9,D+,-2,C,0.2,B-
Alejandro Kirk,16.5,C,,,12.8,A,-2,D+
Alejandro Osuna,12.7,C-,,,-13.8,D-,-1.3,C-
Alek Thomas,22,C+,,,4.9,B,2.9,A-
Alex Bregman,15.5,C,12.5,C+,6.9,B+,-0.9,C
Alex Call,11,D+,,,5.8,B,-0.1,C+
Alex Freeland,17,C,14.9,B,4.6,B,0.5,B-
Alika Williams,12.2,D+,,,,,,
Amed Rosario,23.4,B-,,,-17.5,D-,-0.1,C+
Andres Gimenez,12.8,C-,4.4,D,10.5,A,1.5,B
Andrew Benintendi,22.2,C+,13.9,B-,-4.1,C-,-0.8,C
Andrew McCutchen,18.1,C,,,0.5,C+,-1.7,D+
Andrew Vaughn,17.5,C,,,-1.5,C,-1.3,C-
Andruw Monasterio,21.1,C+,13.3,B-,,,,
Andy Pages,21.2,C+,8.2,D+,9.7,A-,-1.5,C-
Angel Martinez,18.5,C,3.9,D-,3.5,B,1.7,B+
Anthony Seigler,18.2,C,,,,,,
Anthony Volpe,17.3,C,,,10.2,A,0.1,B-
Austin Hedges,16.7,C,,,2,B-,-2.4,D
Austin Martin,12.1,D+,23.8,A+,5.2,B,-2.7,D
Austin Riley,23.5,B-,12.4,C+,-2.4,C,0.8,B
Austin Slater,,,,,1.8,B-,4.1,A
Austin Wells,20.4,C+,13.1,B-,2.5,B-,-0.3,C+
Ben Rice,28.9,B+,14.3,B,-8.1,D+,-0.6,C
Ben Williamson,13.6,C-,10.6,C,-1.3,C,2.6,A-
Blake Dunn,14.6,C-,,,9.8,A-,0.2,B-
Blake Perkins,18.5,C,,,-0.3,C+,0.6,B-
Blaze Alexander,21.9,C+,15.5,B,-3.7,C-,1.5,B
Blaze Jordan,18.4,C,,,,,,
Bo Bichette,19.7,C+,7,D+,0.2,C+,-1.4,C-
Bo Naylor,22.5,B-,,,-4.7,C-,0.4,B-
Bobby Witt,27.5,B,9.4,C-,18.2,A+,5.7,A+
Braden Montgomery,20.1,C+,,,,,,
Braden Shewmake,20.4,C+,,,,,,
Brady House,22.1,C+,,,-9.4,D,-1.2,C-
Brandon Lockridge,11.7,D+,,,2.5,B-,4.8,A
Brandon Lowe,26.5,B,10.3,C,7.3,B+,-0.2,C+
Brandon Marsh,22.2,B-,9.7,C-,-1.5,C,0.2,B-
Brandon Nimmo,28.5,B+,13,B-,-0.8,C,0,C+
Brandon Valenzuela,19.4,C+,13.3,B-,5.9,B,-0.2,C+
Brayan Rocchio,11.8,D+,8.6,D+,7,B+,0.7,B
Brendan Donovan,16.5,C,,,-12.9,D-,-1.2,C-
Brent Rooker,25.8,B,13.7,B-,-0.1,C+,0.7,B
Brenton Doyle,19.2,C+,,,0.7,C+,3.1,A-
Brett Baty,23.5,B-,13.8,B-,-0.5,C+,0.8,B
Brett Sullivan,15.7,C,,,-7.3,D+,-0.5,C+
Brice Matthews,21.4,C+,17,B+,8.7,A-,-1.3,C-
Brice Turang,23.9,B-,14.7,B,8.1,B+,2.4,B+
Brooks Lee,14.9,C-,6.9,D+,-8.8,D+,-0.6,C
Bryan Reynolds,25.3,B,18.3,A-,-3.7,C-,0.8,B
Bryan Torres,18.1,C,,,,,,
Bryce Eldridge,27.8,B+,15.5,B,-4,C-,-3.5,D-
Bryce Harper,24.9,B-,13.3,B-,-5,C-,-2,D+
Bryson Stott,18.6,C,5,D,1.3,B-,5.9,A+
Byron Buxton,31.2,A-,13.6,B-,1.9,B-,1.1,B
CJ Abrams,22.9,B-,6.2,D,-12.8,D-,1.8,B+
Cal Raleigh,20.6,C+,12.1,C+,3.6,B,-1.1,C
Caleb Durbin,13.9,C-,14.7,B,7.2,B+,2.1,B+
Cam Smith,24.9,B-,12.5,C+,8.1,B+,2.5,B+
Carlos Correa,22.5,B-,,,0.7,C+,0.3,B-
Carlos Cortes,21.3,C+,14.6,B,-9.5,D,-1.6,C-
Carlos Narvaez,19.8,C+,9.9,C-,2.3,B-,-1.5,C-
Carson Benge,19.7,C+,10.9,C,1.5,B-,2.9,A-
Carson Kelly,18.8,C+,14.2,B,-4.6,C-,-1.9,D+
Carter Jensen,21.7,C+,15.8,B+,-2.1,C,-0.1,C+
Casey Schmitt,24.4,B-,7.3,D+,1.6,B-,0.5,B-
Ceddanne Rafaela,14.7,C-,6.3,D,16.7,A+,0.7,B
Cedric Mullins,16.6,C,11.6,C+,5.6,B,0.3,B-
Chandler Simpson,1.7,D-,12.1,C+,10.8,A,2.4,B+
Chase DeLauter,21.6,C+,19.9,A,0.7,C+,-0.4,C+
Chase Meidroth,15.2,C-,8.5,D+,1.2,C+,-0.9,C
Christian Vazquez,11.3,D+,5.8,D,1.4,B-,-0.8,C
Christian Walker,21.6,C+,13.7,B-,4.1,B,-0.6,C
Christian Yelich,18.2,C,12.9,B-,0.1,C+,1.2,B
Christopher Morel,,,,,-6.6,D+,0.6,B-
Coby Mayo,27,B,9.4,C-,-6.2,D+,0.5,B-
Cody Bellinger,18.1,C,12.8,C+,12.6,A,-0.2,C+
Colby Thomas,20.9,C+,,,,,,
Cole Carrigg,18.4,C,,,7.2,B+,-0.4,C+
Cole Young,16.9,C,10.7,C,3.1,B-,-1.5,C-
Colson Montgomery,25.2,B,13.2,B-,3.7,B,-1.5,C-
Colt Emerson,18.5,C,,,-4.1,C-,1.2,B
Colt Keith,20.3,C+,14.4,B,0.4,C+,1.7,B+
Colton Cowser,23.2,B-,11.9,C+,8.4,A-,0.1,B-
Connor Norby,18.7,C+,16.3,B+,6,B,-0.5,C+
Connor Wong,17.3,C,,,-6.1,D+,-3.3,D-
Cooper Pratt,15.5,C,,,7.3,B+,5.2,A+
