season,lg,rnd,home_team,home_odds,away_team,away_odds,winner,score,ph,pa,mkt_home,vig,home_won
2012,,WS,San Francisco Giants (3),155,Detroit Tigers (3),-175,San Francisco Giants,4-0,0.39215686274509803,0.6363636363636364,0.38128249566724437,0.028520499108734443,1
2012,AL,LCS,New York Yankees (1),-120,Detroit Tigers (3),100,Detroit Tigers,4-0,0.5454545454545454,0.5,0.5217391304347826,0.045454545454545414,0
2012,NL,LCS,San Francisco Giants (3),-115,St Louis Cardinals (WC2),-105,San Francisco Giants,4-3,0.5348837209302325,0.5121951219512195,0.5108342361863488,0.04707884288145214,1
2012,AL,LDS,New York Yankees (1),-230,Baltimore Orioles (WC2),190,New York Yankees,3-2,0.696969696969697,0.3448275862068966,0.6690070210631895,0.04179728317659359,1
2012,AL,LDS,Oakland Athletics (2),135,Detroit Tigers (3),-155,Detroit Tigers,3-2,0.425531914893617,0.6078431372549019,0.4117884537747275,0.03337505214851899,0
2012,NL,LDS,Washington Nationals (1),-135,St Louis Cardinals (WC2),115,St Louis Cardinals,3-2,0.574468085106383,0.46511627906976744,0.552594002855783,0.03958436417615041,0
2012,NL,LDS,Cincinnati Reds (2),-130,San Francisco Giants (3),110,San Francisco Giants,3-2,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,0
2013,,WS,Boston Red Sox (1),-140,St Louis Cardinals (1),120,Boston Red Sox,4-2,0.5833333333333334,0.45454545454545453,0.562043795620438,0.037878787878787845,1
2013,AL,LCS,Boston Red Sox (1),-120,Detroit Tigers (3),100,Boston Red Sox,4-2,0.5454545454545454,0.5,0.5217391304347826,0.045454545454545414,1
2013,NL,LCS,St Louis Cardinals (1),125,Los Angeles Dodgers (3),-145,St Louis Cardinals,4-2,0.4444444444444444,0.5918367346938775,0.42888402625820565,0.03628117913832196,1
2013,AL,LDS,Boston Red Sox (1),-120,Tampa Bay Rays (WC2),100,Boston Red Sox,3-1,0.5454545454545454,0.5,0.5217391304347826,0.045454545454545414,1
2013,AL,LDS,Oakland Athletics (2),140,Detroit Tigers (3),-160,Detroit Tigers,3-2,0.4166666666666667,0.6153846153846154,0.40372670807453415,0.03205128205128216,0
2013,NL,LDS,St Louis Cardinals (1),-135,Pittsburgh Pirates (WC1),115,St Louis Cardinals,3-2,0.574468085106383,0.46511627906976744,0.552594002855783,0.03958436417615041,1
2013,NL,LDS,Atlanta Braves (2),145,Los Angeles Dodgers (3),-165,Los Angeles Dodgers,3-1,0.40816326530612246,0.6226415094339622,0.39596563317146055,0.030804774740084806,0
2014,,WS,Kansas City Royals (WC1),-110,San Francisco Giants (WC2),100,San Francisco Giants,4-3,0.5238095238095238,0.5,0.5116279069767442,0.023809523809523725,0
2014,AL,LCS,Baltimore Orioles (2),-130,Kansas City Royals (WC1),110,Kansas City Royals,4-0,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,0
2014,NL,LCS,St Louis Cardinals (3),-135,San Francisco Giants (WC2),115,San Francisco Giants,4-1,0.574468085106383,0.46511627906976744,0.552594002855783,0.03958436417615041,0
2014,AL,LDS,Los Angeles Angels (1),-175,Kansas City Royals (WC1),155,Kansas City Royals,3-0,0.6363636363636364,0.39215686274509803,0.6187175043327556,0.028520499108734443,0
2014,AL,LDS,Baltimore Orioles (2),125,Detroit Tigers (3),-145,Baltimore Orioles,3-0,0.4444444444444444,0.5918367346938775,0.42888402625820565,0.03628117913832196,1
2014,NL,LDS,Washington Nationals (1),-190,San Francisco Giants (WC2),165,San Francisco Giants,3-1,0.6551724137931034,0.37735849056603776,0.6345305608065531,0.0325309043591413,0
2014,NL,LDS,Los Angeles Dodgers (2),-195,St Louis Cardinals (3),170,St Louis Cardinals,3-1,0.6610169491525424,0.37037037037037035,0.6409007912355448,0.03138731952291263,0
2015,,WS,Kansas City Royals (1),-104,New York Mets (3),-116,Kansas City Royals,4-1,0.5098039215686274,0.5370370370370371,0.48699271592091564,0.04684095860566462,1
2015,AL,LCS,Kansas City Royals (1),135,Toronto Blue Jays (2),-155,Kansas City Royals,4-2,0.425531914893617,0.6078431372549019,0.4117884537747275,0.03337505214851899,1
2015,NL,LCS,New York Mets (3),117,Chicago Cubs (WC2),-137,New York Mets,4-0,0.4608294930875576,0.5780590717299579,0.44357932957757024,0.03888856481751546,1
2015,AL,LDS,Kansas City Royals (1),-130,Houston Astros (WC2),110,Kansas City Royals,3-2,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.04140786749482395,1
2015,AL,LDS,Toronto Blue Jays (2),-255,Texas Rangers (3),215,Toronto Blue Jays,3-2,0.7183098591549296,0.31746031746031744,0.6935031297215627,0.03577017661524717,1
2015,NL,LDS,St Louis Cardinals (1),-110,Chicago Cubs (WC2),-110,Chicago Cubs,3-1,0.5238095238095238,0.5238095238095238,0.5,0.04761904761904767,0
2015,NL,LDS,Los Angeles Dodgers (2),-195,New York Mets (3),170,New York Mets,3-2,0.6610169491525424,0.37037037037037035,0.6409007912355448,0.03138731952291263,0
2016,,WS,Cleveland Indians (2),165,Chicago Cubs (1),-190,Chicago Cubs,4-3,0.37735849056603776,0.6551724137931034,0.36546943919344677,0.0325309043591413,0
2016,AL,LCS,Cleveland Indians (2),115,Toronto Blue Jays (WC1),-135,Cleveland Indians,4-1,0.46511627906976744,0.574468085106383,0.447405997144217,0.03958436417615041,1
2016,NL,LCS,Chicago Cubs (1),-200,Los Angeles Dodgers (3),170,Chicago Cubs,4-2,0.6666666666666666,0.37037037037037035,0.6428571428571429,0.03703703703703698,1
2016,AL,LDS,Texas Rangers (1),-110,Toronto Blue Jays (WC1),-110,Toronto Blue Jays,3-0,0.5238095238095238,0.5238095238095238,0.5,0.04761904761904767,0
2016,AL,LDS,Cleveland Indians (2),135,Boston Red Sox (3),-155,Cleveland Indians,3-0,0.425531914893617,0.6078431372549019,0.4117884537747275,0.03337505214851899,1
2016,NL,LDS,Chicago Cubs (1),-255,San Francisco Giants (WC1),215,Chicago Cubs,3-1,0.7183098591549296,0.31746031746031744,0.6935031297215627,0.03577017661524717,1
2016,NL,LDS,Washington Nationals (2),145,Los Angeles Dodgers (3),-165,Los Angeles Dodgers,3-2,0.40816326530612246,0.6226415094339622,0.39596563317146055,0.030804774740084806,0
2017,,WS,Los Angeles Dodgers (1),-160,Houston Astros (2),140,Houston Astros,4-3,0.6153846153846154,0.4166666666666667,0.5962732919254659,0.03205128205128216,0
2017,AL,LCS,Houston Astros (2),-170,New York Yankees (WC1),150,Houston Astros,4-3,0.6296296296296297,0.4,0.6115107913669064,0.029629629629629672,1
2017,NL,LCS,Los Angeles Dodgers (1),-190,Chicago Cubs (3),165,Los Angeles Dodgers,4-1,0.6551724137931034,0.37735849056603776,0.6345305608065531,0.0325309043591413,1
2017,AL,LDS,Cleveland Indians (1),-185,New York Yankees (WC1),160,New York Yankees,3-2,0.6491228070175439,0.38461538461538464,0.6279373368146214,0.03373819163292846,0
2017,AL,LDS,Houston Astros (2),-175,Boston Red Sox (3),155,Houston Astros,3-1,0.6363636363636364,0.39215686274509803,0.6187175043327556,0.028520499108734443,1
2017,NL,LDS,Los Angeles Dodgers (1),-260,Arizona Diamondbacks (WC1),220,Los Angeles Dodgers,3-0,0.7222222222222222,0.3125,0.6979865771812079,0.03472222222222232,1
2017,NL,LDS,Washington Nationals (2),-145,Chicago Cubs (3),125,Chicago Cubs,3-2,0.5918367346938775,0.4444444444444444,0.5711159737417943,0.03628117913832196,0
2018,,WS,Boston Red Sox (1),-155,Los Angeles Dodgers (2),135,Boston Red Sox,4-1,0.6078431372549019,0.425531914893617,0.5882115462252725,0.03337505214851899,1
2018,AL,LCS,Boston Red Sox (1),125,Houston Astros (2),-145,Boston Red Sox,4-1,0.4444444444444444,0.5918367346938775,0.42888402625820565,0.03628117913832196,1
2018,NL,LCS,Milwaukee Brewers (1),145,Los Angeles Dodgers (2),-165,Los Angeles Dodgers,4-3,0.40816326530612246,0.6226415094339622,0.39596563317146055,0.030804774740084806,0
2018,AL,LDS,Boston Red Sox (1),-165,New York Yankees (WC1),145,Boston Red Sox,3-1,0.6226415094339622,0.40816326530612246,0.6040343668285393,0.030804774740084806,1
2018,AL,LDS,Houston Astros (2),-160,Cleveland Indians (3),140,Houston Astros,3-0,0.6153846153846154,0.4166666666666667,0.5962732919254659,0.03205128205128216,1
2018,NL,LDS,Milwaukee Brewers (1),-155,Colorado Rockies (WC2),135,Milwaukee Brewers,3-0,0.6078431372549019,0.425531914893617,0.5882115462252725,0.03337505214851899,1
2018,NL,LDS,Los Angeles Dodgers (2),-235,Atlanta Braves (3),195,Los Angeles Dodgers,3-1,0.7014925373134329,0.3389830508474576,0.6742037442256261,0.040475588160890474,1
2019,,WS,Houston Astros (1),-235,Washington Nationals (WC1),195,Washington Nationals,4-3,0.7014925373134329,0.3389830508474576,0.6742037442256261,0.040475588160890474,0
2019,AL,LCS,Houston Astros (1),-165,New York Yankees (2),145,Houston Astros,4-2,0.6226415094339622,0.40816326530612246,0.6040343668285393,0.030804774740084806,1
2019,NL,LCS,St Louis Cardinals (3),120,Washington Nationals (WC1),-140,Washington Nationals,4-0,0.45454545454545453,0.5833333333333334,0.43795620437956206,0.037878787878787845,0
2019,AL,LDS,Houston Astros (1),-300,Tampa Bay Rays (WC2),250,Houston Astros,3-2,0.75,0.2857142857142857,0.7241379310344829,0.03571428571428559,1
2019,AL,LDS,New York Yankees (2),-225,Minnesota Twins (3),185,New York Yankees,3-0,0.6923076923076923,0.3508771929824561,0.6636481241914618,0.04318488529014841,1
2019,NL,LDS,Los Angeles Dodgers (1),-220,Washington Nationals (WC1),180,Washington Nationals,3-2,0.6875,0.35714285714285715,0.6581196581196581,0.044642857142857206,0
2019,NL,LDS,Atlanta Braves (2),-145,St Louis Cardinals (3),125,St Louis Cardinals,3-2,0.5918367346938775,0.4444444444444444,0.5711159737417943,0.03628117913832196,0
2020,,WS,Los Angeles Dodgers (1),-210,Tampa Bay Rays (1),175,Los Angeles Dodgers,4-2,0.6774193548387096,0.36363636363636365,0.6507042253521127,0.04105571847507328,1
2020,AL,LCS,Tampa Bay Rays (1),-185,Houston Astros (6),160,Tampa Bay Rays,4-3,0.6491228070175439,0.38461538461538464,0.6279373368146214,0.03373819163292846,1
2020,NL,LCS,Los Angeles Dodgers (1),-220,Atlanta Braves (2),180,Los Angeles Dodgers,4-3,0.6875,0.35714285714285715,0.6581196581196581,0.044642857142857206,1
2020,AL,LDS,Tampa Bay Rays (1),115,New York Yankees (5),-135,Tampa Bay Rays,3-2,0.46511627906976744,0.574468085106383,0.447405997144217,0.03958436417615041,1
2020,AL,LDS,Oakland Athletics (2),-135,Houston Astros (6),115,Houston Astros,3-1,0.574468085106383,0.46511627906976744,0.552594002855783,0.03958436417615041,0
2020,NL,LDS,Los Angeles Dodgers (1),-280,San Diego Padres (4),240,Los Angeles Dodgers,3-0,0.7368421052631579,0.29411764705882354,0.7147147147147147,0.030959752321981338,1
2020,NL,LDS,Atlanta Braves (2),-290,Miami Marlins (6),245,Atlanta Braves,3-0,0.7435897435897436,0.2898550724637681,0.7195253505933118,0.03344481605351168,1
2020,AL,WCS,Tampa Bay Rays (1),-220,Toronto Blue Jays (8),180,Tampa Bay Rays,2-0,0.6875,0.35714285714285715,0.6581196581196581,0.044642857142857206,1
2020,AL,WCS,Oakland Athletics (2),-120,Chicago White Sox (7),100,Oakland Athletics,2-1,0.5454545454545454,0.5,0.5217391304347826,0.045454545454545414,1
2020,AL,WCS,Minnesota Twins (3),-180,Houston Astros (6),160,Houston Astros,2-0,0.6428571428571429,0.38461538461538464,0.6256684491978609,0.027472527472527597,0
