name,team,pa,power,eye,barrel,hh,osw,zsw,swstr,zone,heart_rv,shadow_rv,chase_rv,waste_rv
Teoscar Hernández,,460,25.4,9.93,10.7,45.0,30.0,67.0,15.6,46.7,0.10579600178174886,-10.752296112526405,10.149034495848921,6.934462320619137
JJ Bleday,,516,21.87,10.29,9.5,39.6,23.0,70.0,12.4,49.2,-8.11514419500431,-10.080104712259217,18.283899291184586,8.679164253806562
Nathaniel Lowe,,412,21.91,6.16,8.9,41.5,27.7,64.6,10.1,49.0,4.5903139278960206,-8.042639009671204,8.443527900503405,7.534782877516129
Ryan Vilade,,254,19.36,7.26,7.2,40.1,27.6,71.6,11.4,49.1,-6.414352859314512,-0.2725796279530934,8.715629270044895,3.8438212522108715
Joshua Kuroda-Grauer,,62,13.22,-4.19,1.9,40.4,40.0,68.2,7.9,51.1,0.5286206056011603,1.7440727504710434,1.5757191437179008,1.1344730335988653
Rodolfo Durán,,91,17.14,5.47,8.5,30.5,31.9,61.2,11.6,46.7,-4.835188318894464,-1.95078438599522,0.12215277035409795,2.584789514007219
Adley Rutschman,,383,18.85,7.18,7.1,39.1,25.4,56.8,6.8,47.1,-6.578969866112628,-15.221173108353817,14.632080396224378,8.90131478949148
Blaze Alexander,,289,22.04,8.42,6.6,48.8,30.2,82.4,14.2,49.6,-3.4728577634806372,-7.816616141890223,8.406425418102952,5.532823538070545
Garrett Mitchell,,499,30.05,11.17,12.1,52.7,22.7,66.2,15.7,48.7,-9.566836313752454,-8.092824441936287,16.67019840379167,8.996311975059843
Pedro Ramírez,,240,15.74,4.24,4.5,39.0,32.9,68.9,10.1,48.4,-3.5704580246737287,-4.921612739357029,4.995380857078377,4.251261234537373
John Rave,,137,21.02,5.84,10.1,35.6,26.3,57.5,9.8,48.1,1.890334434424923,-5.440765395486386,3.405330350659836,2.481127793807558
Gavin Sheets,,412,18.46,6.96,6.9,38.7,31.0,57.8,9.1,45.5,-3.440719615988965,-17.77508878564079,8.268813153012664,10.013481896121343
Konnor Griffin,,305,17.25,5.33,6.9,35.6,38.1,67.9,15.4,46.6,1.9499219005399404,-13.394799808407013,1.967439187655917,6.973807149853432
Cody Freeman,,93,5.65,-0.07,1.4,22.5,28.0,56.7,7.2,50.8,-5.822427554127258,-0.11056711474931644,2.05886806292856,2.301181334755764
Zack Gelof,,401,23.36,5.95,9.8,42.5,24.8,67.2,13.5,51.2,-6.641775839387907,-5.180754429509958,12.24034150604044,5.779934594921275
Jared Triolo,,354,11.0,4.5,2.4,33.2,25.7,64.7,9.9,50.3,-13.893782870537438,-12.060440436453527,7.827522055570349,7.8401541357170075
Carlos Narváez,,274,17.59,4.44,6.4,38.0,32.6,70.4,17.3,49.8,-11.744417940683622,-14.635867613137279,2.0388052669649155,6.721050817991964
Ryan Ward,,60,19.23,9.57,10.8,28.9,32.1,77.2,14.7,46.8,-2.8241869166009215,-0.09623265390653617,1.056861219659183,0.825760792840102
Jhostynxon Garcia,,51,11.09,4.86,3.1,31.3,46.4,78.1,20.6,45.8,-1.555736467185635,-3.571749463594126,-1.548644202974682,0.5252162320545363
Liam Hicks,,529,10.43,7.06,3.9,27.2,26.8,58.3,4.7,46.7,-6.120671197316125,-6.766038998835759,17.01254921622983,11.622193502609804
Ryan O'Hearn,,421,19.82,5.78,6.8,42.5,31.6,64.0,10.4,47.5,2.3616232614386163,-11.646048735078866,6.199243116975346,8.620200532778894
Joshua Báez,,108,27.51,1.81,11.8,47.1,39.6,70.6,19.4,49.7,0.2349513492357906,-1.1593559678229413,2.2447353389061306,1.2315991959383217
Dustin Harris,,117,5.62,5.79,2.2,20.0,30.4,64.2,9.4,47.3,-1.5821731658601432,-2.2245135536457177,3.8039373118925375,1.57769572513366
LaMonte Wade Jr.,,139,12.22,9.3,3.4,33.3,20.6,59.9,9.3,48.1,-3.5845605378638936,-8.008262711619414,8.302191504382968,2.1247997367315326
Kevin Alcántara,,28,13.54,4.21,6.7,26.7,29.5,54.3,14.4,48.3,1.159488499017484,-2.611502424164791,0.6349013503490021,0.35161608271974015
Bryan De La Cruz,,74,15.46,6.34,3.8,40.4,34.8,69.9,12.7,46.7,0.9224790277507401,-2.346886119022506,1.6969178523138715,1.3624350587660452
Ben Ross,,14,27.91,9.3,16.7,33.3,39.4,66.7,26.7,45.0,-0.4714715204099442,-0.8118354279253883,-0.42806793676426164,0.07594844950586291
Edgar Quero,,217,13.66,10.4,2.7,39.1,25.7,75.3,10.5,47.8,-3.774839697755667,-19.669627130489385,5.513255327833485,5.513715468361983
Jorge Mateo,,205,18.19,4.96,7.6,35.9,43.6,68.0,17.4,44.6,-5.376406873482986,-7.481212800956845,0.17343307398045887,3.1252741212395554
Daylen Lile,,624,21.09,7.62,9.4,37.9,38.0,76.0,13.1,45.8,-10.2084234121057,-15.789784722259169,15.196818021195519,6.549177410727477
Dalton Rushing,,250,26.77,8.91,12.1,44.3,30.5,70.3,15.8,47.5,-3.4495137764205985,-3.1936507523667745,7.011438138152558,4.647955969363003
Amed Rosario,,234,23.88,4.64,11.0,40.2,41.0,71.8,14.8,46.4,4.698958830866404,-12.332702319502854,3.759722409301509,2.4497769774330234
Tyler Freeman,,288,10.79,4.55,1.3,36.0,30.2,72.0,6.3,48.8,-14.444818535311896,-5.210636012842471,9.172677783113901,6.508269377805052
Gustavo Campero,,12,4.97,20.41,0.0,25.0,36.7,90.0,20.0,40.0,0.013500997740598063,0.6741203289776293,-0.38013039167540025,-0.2645525192466076
Michael Busch,,676,21.36,11.32,9.0,39.8,25.0,64.5,11.2,47.1,-2.1212516135603523,-21.7698053243749,23.016166744960067,14.628196148659182
Josh Jung,,423,22.16,6.42,6.8,48.5,29.0,66.8,8.6,48.1,-3.683851890678184,-6.270361588063063,10.715740571898111,7.653973616608235
Nico Hoerner,,657,8.3,-1.16,1.5,29.0,33.3,61.5,5.6,50.0,-19.36560932262022,-8.716056962404464,11.225299057540132,9.200255923409076
Christopher Morel,,100,15.11,4.29,3.4,40.7,34.4,65.7,17.7,48.5,-7.7736363798506,-3.293039392634163,1.2749161750758942,1.7584757001039086
Justin Foscue,,235,24.81,-0.04,10.9,42.9,27.0,63.2,9.5,53.1,-2.096425171305164,2.3589476725481675,5.562120484203018,3.863608883864051
Randy Arozarena,,635,21.08,8.94,7.7,43.0,30.6,63.1,12.0,46.8,-3.219293565479765,-4.855942562417339,26.363247154405556,15.0373422236869
Ryan Jeffers,,348,24.07,6.7,10.8,41.3,26.1,56.1,6.8,47.3,3.9315166188479433,-11.210111741584374,12.33935075385601,7.072387475269413
Ketel Marte,,589,22.89,7.29,9.6,41.9,31.8,67.7,9.7,47.1,-0.2169298350110433,-23.79626825803539,16.31619529197221,11.150314749284702
Lenyn Sosa,,117,16.14,4.26,5.6,36.7,50.0,64.7,12.0,40.8,-3.7784618329885498,-8.964734482477741,0.47227158593219515,1.790215764334572
Graham Pauley,,144,13.38,6.88,6.9,25.7,30.1,66.6,11.0,47.1,-7.0642272060500435,-1.7387684546136233,2.2308818141745674,2.4293357069194363
Drew Romo,,203,12.56,10.59,6.0,26.3,34.5,72.2,15.5,44.3,-9.246000375120166,-7.488120084748281,0.5887963823299291,4.45768175557294
Kyren Paris,,18,17.49,11.54,0.0,57.1,12.8,72.8,16.9,53.0,-2.3664881531886732,-2.0369396715552113,1.1652969919396194,0.20795153303048394
Cody Bellinger,,538,17.79,5.83,6.6,37.9,30.1,65.0,9.3,48.4,-0.8257147387478252,-8.669075044154415,16.695914689469983,9.337120658037616
Luis Campusano,,232,20.73,9.27,8.7,39.1,29.2,67.7,12.1,46.7,3.277820913043341,-5.364594453590415,4.498581579625655,5.466316851416953
Gary Sánchez,,261,18.7,9.32,8.2,35.4,22.1,51.7,9.9,46.7,-2.8186110091112875,-6.743032843170843,11.933919025936062,6.2686601535494715
Luis Urías,,59,15.26,5.56,7.0,30.2,31.4,70.6,6.5,47.4,1.75696217091381,-3.3244968432348947,0.747525389812779,1.4311109557897512
Ezequiel Tovar,,483,16.04,6.61,6.7,33.1,43.7,81.7,18.0,45.8,-2.3718066346360946,-31.953367198761995,2.5121070234506284,6.516962977092124
TJ Rumfield,,605,11.49,12.44,4.8,27.2,30.2,70.7,9.2,44.7,4.232428114818091,-6.201049145335798,19.715213984281515,10.781645348393793
Ethan Salas,,25,14.81,-7.74,5.6,33.3,32.6,64.2,11.1,56.6,-3.658670299685708,1.5847220632328416,0.43405797565164106,0.0024551167976409327
Nick Yorke,,117,18.2,6.88,5.0,43.8,31.8,68.7,12.3,47.1,-3.552719273513905,-7.482073950286315,2.7762156240245655,1.6565856199893583
Michael Helman,,35,-1.78,2.65,0.0,7.7,43.3,77.4,12.4,46.9,-2.2585332038130255,-1.7797211302840312,1.0338775263775062,0.3966654192675517
James Outman,,170,17.99,12.06,7.0,37.2,30.2,75.0,21.4,46.9,-1.4929376303168052,-16.825074842201314,0.9378860100578958,3.74680938788528
Michael Conforto,,290,24.11,9.73,10.9,41.1,27.0,64.4,12.3,47.0,5.155146703734344,-8.912882389463578,7.560992237003405,6.353690330886999
Darell Hernaiz,,157,7.01,6.7,0.9,27.5,36.2,67.8,13.0,45.5,-4.017626440009861,-7.442542155025059,2.7130964836211278,3.2216574198517165
Keibert Ruiz,,335,15.47,-1.5,5.0,36.8,38.3,67.1,7.5,49.7,-1.6572100160619696,-3.827348289183283,7.0567600491736915,2.1977999047346586
Colby Thomas,,121,19.06,5.26,8.9,34.2,42.9,80.3,20.8,47.3,-3.863933240398175,-4.778439826463916,-0.5279022167472135,1.1564316248216857
Andrew Velazquez,,15,4.23,-13.39,0.0,23.1,52.4,70.8,8.9,53.3,-1.1609982482194576,-1.4606742075372632,-0.625992066228196,0.23072531724559542
Mookie Betts,,493,19.79,5.17,8.1,38.5,20.2,61.6,5.0,51.0,-9.613883457539387,-4.2535551647968814,14.256281161131893,8.06668932442049
Hao-Yu Lee,,326,21.83,6.79,9.0,41.0,29.5,65.6,13.0,48.2,0.3787962104423589,-5.843081130496785,6.175503251930296,4.097687932015523
Nick Morabito,,37,10.08,4.95,0.0,38.1,32.9,48.5,12.3,44.9,-1.4691589688158326,-2.7651485609359696,0.4998059581276455,0.8731432167189638
Michael Stefanic,,25,6.69,-2.33,0.0,29.4,25.0,58.4,5.4,53.6,-2.087528979894501,0.19376273241683525,1.1816055080987122,0.39133680562808565
Harrison Bader,,111,20.92,2.63,8.2,41.1,38.7,69.0,17.1,48.5,-1.6050515656724402,-7.431194459174892,0.5012990146539239,1.0300468487276144
Brian Navarreto,,55,11.2,5.69,6.3,21.9,37.8,70.4,17.8,46.9,-3.003237719053746,-2.613743982485934,0.06886798607395235,0.5655943250121351
Trevor Story,,244,15.98,2.74,5.1,37.8,43.9,69.6,17.0,46.3,-3.9141002647621352,-5.926499990481313,-1.053871736568914,2.84582991667953
Jacob Young,,452,13.8,3.6,5.7,30.4,27.7,60.4,9.1,49.5,-16.9231741183507,-2.68271097601603,12.468604700636032,8.607252228946995
Iván Herrera,,682,17.31,7.28,5.3,40.6,28.1,61.6,8.9,47.8,-6.375649183096825,-18.715784499885963,20.84799314178511,17.95600869108603
Samad Taylor,,152,6.63,4.87,2.1,22.9,29.6,59.3,10.5,47.8,-2.132568560819797,0.1630858987706189,4.46169121472842,1.3977461932350106
Javier Sanoja,,456,10.73,0.53,2.5,32.2,39.8,66.1,6.3,47.5,0.8234164417117515,-7.46917274011476,10.559683945906292,4.985704157515614
Tyler Stephenson,,447,27.52,8.07,12.6,44.7,22.2,66.6,11.8,50.5,-0.4112076818233754,-20.565169140719927,12.650502353672799,9.267174847955067
Yoán Moncada,,130,20.26,5.77,7.7,40.9,21.1,56.6,11.2,50.2,-6.615052327992878,-4.713087872906675,4.487358689515496,2.8911990525250055
Griffin Conine,,295,32.07,12.2,14.9,49.4,32.9,67.5,18.2,44.5,5.4425207546045264,-6.949119164636553,4.781381796836339,7.788856133160007
Angel Genao,,128,21.32,11.94,5.1,51.5,27.0,65.9,9.9,44.2,-6.437953065959566,-0.7915845389470657,0.9551321372209485,2.0440516869670224
Andy Pages,,550,20.76,8.83,7.7,42.2,31.6,66.5,10.5,45.8,-2.6132999641296224,-8.186011310147208,12.633781522458392,9.386785617016493
Edmundo Sosa,,240,19.55,-0.51,7.4,40.0,52.1,70.8,16.2,45.5,1.352562085336474,1.4234313808919528,-2.949392775343764,1.713802491030223
Junior Perez,,36,32.53,4.14,14.3,52.4,28.8,71.3,20.1,52.5,-0.8344518060288535,-1.9499925106026434,0.5422248715979343,0.6517585795291823
Jake Mangum,,455,8.46,1.57,2.1,27.6,45.7,72.9,12.5,46.4,-6.431856448979862,-11.099951106846193,7.213360642376688,7.395269700520733
Corey Seager,,402,31.21,18.6,14.6,48.1,27.5,82.3,17.1,44.2,1.8072650528247567,-18.03657275660185,15.0776206960645,6.728227395786589
Jake Burger,,588,27.83,9.91,12.4,46.1,35.1,67.2,16.9,44.9,1.1379734692109222,-20.773912827686654,6.124623692394707,10.770580224040133
Johnathan Rodríguez,,15,14.72,16.97,0.0,50.0,25.6,75.8,13.2,43.4,-0.6908289939765844,-0.29786302841923473,0.26780928770741863,0.23251632436165692
Otto Lopez,,654,18.33,3.51,6.1,40.8,31.2,62.1,8.9,48.9,-7.389169665587969,-0.23534549691443926,13.845133076677268,11.019481621184301
Jared Young,,342,22.56,10.52,7.7,46.8,27.5,70.2,11.6,46.6,-9.950234627917697,-2.9004382869798166,10.85155770025581,6.597585784956985
Wenceel Pérez,,175,17.18,3.43,7.6,33.3,29.1,67.1,8.7,49.5,-14.140934328028356,-3.067158411467692,5.279625631158223,1.9825719218364468
José Azócar,,18,4.23,3.82,0.0,23.1,48.7,70.1,15.9,43.5,0.7483733413539969,-1.0523278099574171,0.17301739076330575,-0.04609689430169484
Wyatt Langford,,438,19.05,9.63,8.0,36.9,26.9,69.6,11.8,48.0,-0.3356948548048075,-15.179339622368314,13.538846176079234,10.021788044679072
Tyler Heineman,,191,0.92,-2.55,0.7,12.5,42.0,70.1,11.0,49.5,-10.23903423784306,-11.19327149316638,0.4027975900434685,1.2542126561337588
Miguel Rojas,,238,14.89,6.85,5.1,35.0,32.9,68.2,8.2,45.9,-2.9798281393218446,-4.725406039871272,4.010642255611396,4.114328169149844
Jeremy Peña,,447,18.61,8.55,6.8,39.4,38.8,74.6,17.4,45.8,12.250601337754508,-10.63567737533633,0.5281175278641169,8.241535115033383
Colt Emerson,,241,13.29,3.15,5.0,31.2,38.9,69.4,18.3,48.2,-7.818007246266692,-8.369569980201417,1.4069017996712703,2.0185975316352325
Will Wagner,,45,2.2,13.39,0.0,17.9,24.0,61.7,6.8,43.2,-0.4403406163303824,-1.360298533033968,2.170629337653661,0.4391917297565434
José Ramírez,,511,15.31,8.73,4.4,38.2,29.2,64.9,7.2,45.9,-5.454621408740825,-23.507474964722054,16.46424961021943,10.879371669984808
Michael Massey,,422,17.62,1.45,5.7,40.2,38.9,67.9,10.5,48.2,0.3707267201068811,-11.19612978305521,6.814694550132754,5.608576361376175
Josh Lowe,,320,20.54,8.11,9.1,37.4,36.0,77.8,17.8,47.1,-8.695467662372046,-12.001933971123092,4.9966020029575855,4.350038406567852
Victor Scott II,,189,6.62,4.62,1.6,24.4,22.3,69.2,11.3,52.4,-11.844974829026118,-6.514066487718465,4.919025405494282,3.3463671598799887
Jimmy Crooks,,149,27.74,7.99,11.6,48.3,36.3,66.1,17.0,45.0,-5.4006915613821125,-8.727579789855966,1.906612684200837,3.0119941665134964
Willson Contreras,,533,28.19,12.5,13.4,44.0,34.1,67.6,14.9,43.9,9.690960943204566,5.0465585072123496,15.79244299975978,9.752198895744469
Jake McCarthy,,563,13.14,7.02,5.7,28.7,37.7,79.4,12.1,47.2,6.2150471356352295,-9.417427308497064,10.495588412986974,8.013226150995266
Tyler Soderstrom,,453,24.14,10.35,9.5,45.4,25.9,68.3,10.5,47.2,-5.5887730784107985,-5.526826730804872,14.612383444352673,7.556308080074683
Maikel Garcia,,321,16.17,2.9,4.5,40.1,23.2,55.4,5.6,50.3,-4.944193232682978,-11.33672846804661,8.006789155671862,4.378149856418867
Patrick Wisdom,,50,34.37,2.51,19.2,42.3,40.4,71.7,23.1,49.5,-5.107047515085876,-2.259982069732055,0.2645737905307998,0.2842810596789265
Andrew McCutchen,,83,13.3,8.92,5.8,28.8,20.5,68.7,14.6,50.6,-6.750701364591901,-2.05838939738121,2.419323354728669,1.4592179809498753
Will Smith,,254,25.41,6.8,12.3,40.2,21.1,61.3,6.7,49.5,-9.379412563056086,-2.6400748814556327,9.217305291117768,7.323254678394647
Luis Arraez,,634,3.97,-2.31,1.2,18.8,33.3,63.5,3.6,51.3,-12.020031239592756,-9.032801695967661,16.58124173459537,10.54069849552345
Cooper Pratt,,242,10.04,1.68,3.5,27.4,29.8,61.9,9.7,50.4,-4.977459996975372,-2.6228153887058054,6.314451550233017,3.8387195842322295
Danny Jansen,,198,15.33,5.01,6.3,32.5,24.3,66.6,12.2,51.3,-6.334866328194203,-8.246638373149409,5.86186553890493,3.053863655853264
Andrés Chaparro,,206,27.76,13.85,13.1,43.8,31.4,72.0,15.8,44.1,5.721949233916268,-5.455029693204807,6.5845295610433725,6.471085484240454
Andrew Vaughn,,328,18.09,8.25,5.1,43.2,23.2,55.1,7.4,47.0,-5.848876420344013,1.83971542356435,9.847947476960064,8.680636310224207
Coby Mayo,,425,29.36,7.05,13.1,47.9,32.0,63.8,14.1,47.1,6.137120063405494,-8.946853766952083,2.3099494405892096,7.31306792781631
Nathan Lukes,,422,9.37,-0.08,2.7,28.1,34.6,65.9,8.2,49.9,-14.898983730746734,-6.622548967802888,7.869842920737705,7.906546022785255
Ben Williamson,,270,9.86,1.72,1.5,33.0,31.5,55.3,7.3,47.9,-7.781690512866584,-9.512747176016767,4.808841047480481,4.225859807433736
Christian Vázquez,,262,6.43,2.11,2.1,22.4,36.4,61.6,9.5,46.9,-7.221844658302972,-10.858667327744628,1.5496036687838888,3.2366266378079773
Dillon Dingler,,586,23.05,6.14,9.7,42.0,33.8,64.7,10.7,46.6,0.3256570713332149,-10.112254858618748,10.328142457518027,7.933081284287012
Jackson Merrill,,636,29.39,8.63,12.7,49.2,37.3,77.9,15.3,46.3,-2.334951238874277,-11.589073445218087,7.3728584019015475,11.343900986431926
