mlbam_id,team_abbr,pos,hand,name,name_raw
650644,ATH,P,R,Aaron Civale,Aaron Civale
675961,ATH,SS,R,Alika Williams,Alika Williams
666126,ATH,RF,S,Carlos Cortes,Carlos Cortes
687515,ATH,RF,R,Colby Thomas,Colby Thomas
665660,ATH,P,R,Elvis Alvarado,Elvis Alvarado
695611,ATH,P,L,Gage Jump,Gage Jump
703607,ATH,CF,R,Henry Bolte,Henry Bolte
663687,ATH,P,L,Hogan Harris,Hogan Harris
669372,ATH,P,R,JT Ginn,J.T. Ginn
678022,ATH,P,R,Jack Perkins,Jack Perkins
805779,ATH,SS,R,Jacob Wilson,Jacob Wilson
643446,ATH,2B,R,Jeff McNeil,Jeff McNeil
605488,ATH,P,L,Jeffrey Springs,Jeffrey Springs
641680,ATH,C,R,Jonah Heim,Jonah Heim
660761,ATH,P,L,Jose Suarez,José Suarez
686993,ATH,P,R,Justin Sterner,Justin Sterner
671732,ATH,RF,R,Lawrence Butler,Lawrence Butler
665622,ATH,P,R,Luis Medina,Luis Medina
643410,ATH,P,R,Mark Leiter,Mark Leiter Jr.
686930,ATH,P,R,Mason Barnett,Mason Barnett
691777,ATH,3B,R,Max Muncy,Max Muncy
701762,ATH,1B,L,Nick Kurtz,Nick Kurtz
605130,ATH,P,R,Scott Barlow,Scott Barlow
669127,ATH,C,R,Shea Langeliers,Shea Langeliers
691016,ATH,LF,R,Tyler Soderstrom,Tyler Soderstrom
680869,ATH,3B,R,Zack Gelof,Zack Gelof
695257,PIT,RF,R,Billy Cook,Billy Cook
684049,PIT,P,R,Brandan Bidois,Brandan Bidois
664040,PIT,2B,R,Brandon Lowe,Brandon Lowe
677952,PIT,P,R,Braxton Ashcraft,Braxton Ashcraft
668804,PIT,LF,R,Bryan Reynolds,Bryan Reynolds
696149,PIT,P,R,Bubba Chandler,Bubba Chandler
669387,PIT,P,R,Carmen Mlodzinski,Carmen Mlodzinski
642701,PIT,P,R,Dennis Santana,Dennis Santana
682848,PIT,C,R,Endy Rodriguez,Endy Rodríguez
699013,PIT,RF,R,Esmerlyn Valdez,Esmerlyn Valdez
681895,PIT,P,L,Evan Sisk,Evan Sisk
642397,PIT,P,L,Gregory Soto,Gregory Soto
680779,PIT,C,R,Henry Davis,Henry Davis
676755,PIT,P,R,Isaac Mattson,Isaac Mattson
663968,PIT,LF,L,Jake Mangum,Jake Mangum
683003,PIT,P,R,Jared Jones,Jared Jones
669707,PIT,SS,R,Jared Triolo,Jared Triolo
542303,PIT,DH,R,Marcell Ozuna,Marcell Ozuna
682254,PIT,P,L,Mason Montgomery,Mason Montgomery
656605,PIT,P,R,Mitch Keller,Mitch Keller
693304,PIT,3B,R,Nick Gonzales,Nick Gonzales
694973,PIT,P,R,Paul Skenes,Paul Skenes
656811,PIT,RF,L,Ryan O'Hearn,Ryan O'Hearn
687462,PIT,1B,R,Spencer Horwitz,Spencer Horwitz
682997,PIT,LF,R,Tyler Callihan,Tyler Callihan
670990,PIT,P,R,Yohan Ramirez,Yohan Ramírez
670970,SD,P,L,Adrian Morejon,Adrian Morejon
675448,SD,C,R,Blake Hunt,Blake Hunt
699134,SD,P,R,Bradgley Rodriguez,Bradgley Rodriguez
688158,SD,P,R,David Morgan,David Morgan
665487,SD,RF,R,Fernando Tatis,Fernando Tatis Jr.
657757,SD,1B,L,Gavin Sheets,Gavin Sheets
656288,SD,P,R,Griffin Canning,Griffin Canning
701538,SD,CF,R,Jackson Merrill,Jackson Merrill
687749,SD,RF,R,Jase Bowen,Jase Bowen
592094,SD,P,R,Jason Adam,Jason Adam
606996,SD,P,L,Kyle Hart,Kyle Hart
608337,SD,P,R,Lucas Giolito,Lucas Giolito
592518,SD,3B,R,Manny Machado,Manny Machado
650633,SD,P,R,Michael King,Michael King
669256,SD,1B,R,Nick Solak,Nick Solak
