mlbam_id,name,date,proc_z,ra9_adj,n14,n46,d_velo,z_velo,z_whiff,z_csw,z_kbb,z_sec_velo,z_pitches14
695549,"Jobe, Jackson",2026-09-26,2.5,-0.25,269,502,-0.54,-0.93,2.87,3.5,2.08,0.33,1.14
687064,"Young, Brandon",2026-09-26,2.112,-0.211,272,737,0.32,0.56,2.01,1.81,0.76,1.14,1.2
647336,"Soroka, Michael",2026-09-26,2.014,-0.201,173,300,0.65,1.13,1.78,2.09,2.02,0.66,-0.56
519242,"Sale, Chris",2026-09-26,2.004,-0.2,97,705,1.68,2.91,2.3,1.18,1.78,0.82,-1.9
676083,"Junk, Janson",2026-09-26,1.795,-0.179,156,573,1.54,2.68,1.55,0.91,2.14,-0.07,-0.86
683363,"Wilkinson, Matt",2026-09-26,1.723,-0.172,113,269,0.08,0.14,2.01,3.14,2.18,0.25,-1.62
642547,"Peralta, Freddy",2026-09-26,1.677,-0.168,276,590,1.59,2.76,0.64,-0.22,-0.5,1.99,1.27
664285,"Valdez, Framber",2026-09-26,1.561,-0.156,177,757,,,3.3,2.6,1.17,-1.97,-0.48
696270,"Johnson, Ryan",2026-09-26,1.502,-0.15,181,703,,,1.32,1.53,2.56,-0.56,-0.41
656492,"Griffin, Foster",2026-09-26,1.423,-0.142,166,691,-0.56,-0.98,1.61,2.52,1.19,1.38,-0.68
805673,"Matthews, Zebby",2026-09-26,1.396,-0.14,197,718,-0.01,-0.01,1.36,1.3,1.99,0.43,-0.13
700712,"Ureña, Walbert",2026-09-26,1.396,-0.14,277,607,,,1.67,0.37,0.95,-0.15,1.28
624133,"Suarez, Ranger",2026-09-26,1.334,-0.133,280,595,0.02,0.03,0.95,1.22,1.53,-0.34,1.34
674841,"Alvarez, Andrew",2026-09-26,1.299,-0.13,290,558,-0.16,-0.28,1.71,0.99,0.95,-0.27,1.52
691725,"Painter, Andrew",2026-09-26,1.293,-0.129,266,720,0.34,0.59,0.95,0.97,-0.13,1.11,1.09
607192,"Glasnow, Tyler",2026-09-26,1.136,-0.114,281,271,0.04,0.07,1.68,1.48,0.55,-1.11,1.36
676282,"Cantillo, Joey",2026-09-26,1.118,-0.112,217,645,0.43,0.75,-0.18,0.42,1.71,1.04,0.22
669373,"Skubal, Tarik",2026-09-26,1.069,-0.107,251,766,0.07,0.12,1.09,1.46,0.52,-0.23,0.82
663623,"Irvin, Jake",2026-09-26,1.057,-0.106,173,716,0.23,0.39,1.53,1.75,1.97,-1.35,-0.56
605280,"Holmes, Clay",2026-09-26,0.992,-0.099,276,510,,,1.16,1.39,-0.49,-0.41,1.27
681035,"Scott, Christian",2026-09-26,0.983,-0.098,161,636,0.38,0.66,0.91,0.81,0.94,0.93,-0.77
674003,"Bradford, Cody",2026-09-26,0.963,-0.096,141,555,0.34,0.59,1.21,1.84,0.36,0.53,-1.12
554430,"Wheeler, Zack",2026-09-26,0.943,-0.094,192,746,0.08,0.14,0.58,-0.39,1.51,1.73,-0.22
804267,"Thornton, Zac",2026-09-26,0.921,-0.092,252,605,1.11,1.92,-0.67,0.51,-0.06,0.7,0.84
656849,"Peterson, David",2026-09-26,0.875,-0.088,259,663,0.18,0.31,0.54,0.26,1.04,-0.02,0.97
694973,"Skenes, Paul",2026-09-26,0.867,-0.087,267,608,-0.37,-0.64,1.15,1.48,1.17,-1.21,1.11
643377,"Jax, Griffin",2026-09-26,0.796,-0.08,141,304,0.46,0.8,0.76,1.36,0.98,0.03,-1.12
650911,"Sánchez, Cristopher",2026-09-26,0.788,-0.079,296,759,,,-0.46,0.29,0.36,0.52,1.62
701542,"Warren, Will",2026-09-26,0.766,-0.077,229,668,0.29,0.5,0.78,1.09,0.48,-0.57,0.44
695076,"Lowder, Rhett",2026-09-26,0.75,-0.075,151,743,,,1.6,1.39,-0.44,0.61,-0.95
700241,"McGreevy, Michael",2026-09-26,0.747,-0.075,270,727,0.44,0.76,-0.0,-0.03,-0.53,1.29,1.16
571510,"Boyd, Matthew",2026-09-26,0.729,-0.073,249,753,0.37,0.64,0.71,-0.37,-0.18,0.99,0.79
694297,"Pfaadt, Brandon",2026-09-26,0.685,-0.069,270,752,0.4,0.69,0.24,0.09,0.61,-0.36,1.16
684007,"Imanaga, Shota",2026-09-26,0.682,-0.068,191,723,0.2,0.34,-0.1,0.04,1.78,0.58,-0.24
682243,"Miller, Bryce",2026-09-26,0.676,-0.068,273,614,-0.05,-0.09,0.48,-0.01,0.53,0.27,1.21
667755,"Soriano, José",2026-09-26,0.644,-0.064,218,656,-0.35,-0.61,0.62,0.78,1.37,-0.12,0.24
645261,"Alcantara, Sandy",2026-09-26,0.641,-0.064,223,900,0.65,1.13,0.5,0.15,0.18,-0.02,0.33
694918,"Tidwell, Blade",2026-09-26,0.641,-0.064,152,626,-0.69,-1.2,1.35,1.67,1.2,0.18,-0.93
669923,"Kirby, George",2026-09-26,0.624,-0.062,189,759,0.33,0.57,1.23,0.3,-0.5,0.87,-0.27
678022,"Perkins, Jack",2026-09-26,0.618,-0.062,163,662,0.55,0.96,-0.54,-0.05,1.23,1.32,-0.73
608372,"Sugano, Tomoyuki",2026-09-26,0.614,-0.061,250,723,-0.01,-0.01,0.87,0.34,0.39,-0.23,0.81
