name_key,name,base_wrc_vs_r,base_wrc_vs_l
bligh madris,Bligh Madris,74.2334991,47.78003
eduardo garcia,Eduardo Garcia,60.0338247,67.5279827
joc pederson,Joc Pederson,123.02676,97.6326037
dayquer alfonzo,Dayquer Alfonzo,3.31700476,7.74998769
homer bush,Homer Bush,76.2602602,81.5221878
brett baty,Brett Baty,113.164156,88.0911121
zac fascia,Zac Fascia,43.9229411,19.4189391
leo de vries,Leo De Vries,83.1595252,82.4564468
colton becker,Colton Becker,66.2933614,72.7705896
tyler whitaker,Tyler Whitaker,35.1208839,42.640637
javier castillo,Javier Castillo,0.03587821,4.19823168
jake cronenworth,Jake Cronenworth,110.42352,86.0080222
kenny castillo,Kenny Castillo,42.0823034,47.8348945
mike jarvis,Mike Jarvis,40.86842,46.9234555
bryant mendez,Bryant Mendez,3.57961475,7.46539109
peyton powell,Peyton Powell,46.163313,21.7389114
alex bregman,Alex Bregman,117.760217,127.736031
frankeli mesta,Frankeli Mesta,9.61958678,11.4735837
nolan gorman,Nolan Gorman,102.912369,86.3828115
mitch jebb,Mitch Jebb,79.9711083,57.9976286
caden powell,Caden Powell,29.0871594,36.0043678
cole urman,Cole Urman,47.1834357,55.0037412
jacob friend,Jacob Friend,34.4856055,7.30472841
matt fraizer,Matt Fraizer,76.664416,49.5883608
jose mejia,Jose Mejia,28.0411995,32.4721072
edgleen perez,Edgleen Perez,37.7071841,43.425907
christian pregent,Christian Pregent,22.8998163,29.4978926
reniel diaz,Reniel Diaz,-3.4468858,1.59058816
jp martinez,J.P. Martinez,78.2279697,51.8258852
felix valerio,Felix Valerio,66.2921577,72.506449
austin barnes,Austin Barnes,68.2057394,76.3346421
erick pena,Erick Pena,28.496972,1.78159091
junior aybar,Junior Aybar,16.8274614,-4.29742
juan espinal,Juan Espinal,-3.6691138,2.73277822
charlie pagliarini,Charlie Pagliarini,63.1294995,33.61726
jaden rudd,Jaden Rudd,49.5770964,24.1796966
zach neto,Zach Neto,110.446776,120.031845
mark canha,Mark Canha,90.5881895,98.2154033
robert gonzalez,Robert Gonzalez,30.8464171,7.33375254
deward tovar,Deward Tovar,19.4063593,-3.7792356
