ts_utc,date_et,hour_et,pit_n,pit_fip_proj_n,h_fip_proj,pit_xfip_n,h_xfip,pit_bot_era_n,h_bot_era,pit_stuff_plus_n,h_stuff_plus,ars_n,h_arsenal,hit_n,hit_qual,h_hit_xwoba,grd_n,h_grades,pe_rows
2026-07-25T11:19:05Z,2026-07-25,7,7029,3588,8c6ace91dd,709,0f56ff1a98,712,93f99a37a1,709,181f6a200f,362,6aa3b50569,605,253,a4edc6dadb,695,7ec279b21e,573
2026-07-25T13:22:35Z,2026-07-25,9,7029,3588,8c6ace91dd,709,0f56ff1a98,712,93f99a37a1,709,181f6a200f,359,8e84530ca1,605,253,d2d5d1ad08,695,26803b5664,573
2026-07-26T11:29:25Z,2026-07-26,7,7029,3589,944a57ecdb,710,3d9f82e30e,713,47ae4550e7,709,cd56466ff0,359,8e84530ca1,605,253,d2d5d1ad08,695,26803b5664,573
2026-07-26T13:17:37Z,2026-07-26,9,7029,3589,944a57ecdb,710,3d9f82e30e,713,47ae4550e7,709,cd56466ff0,359,e1ca5e5c56,607,251,0b7fc4139c,696,3eeb82a121,573
2026-07-27T13:08:30Z,2026-07-27,9,7031,3591,a4ad6fded8,711,e61ae0dc8c,714,f0a86dfe65,709,fa86403e2f,358,89b6762933,607,251,0b7fc4139c,696,4ba46f9bd8,574
2026-07-28T12:04:05Z,2026-07-28,8,7032,3592,272672130e,711,e0c5204e94,714,af6cf2cffa,710,5ccd1a4a17,358,89b6762933,607,251,a95a3833d7,696,846970ee12,574
2026-07-28T14:06:38Z,2026-07-28,10,7032,3592,272672130e,711,b60f8ea5ba,714,7d23e9dfac,711,0683d23c53,357,3aa6f5cb05,607,250,f496a57cb7,696,e4c8b61e52,575
2026-07-29T12:08:33Z,2026-07-29,8,7032,3591,bb982ec711,711,b60f8ea5ba,714,8a5e795fef,711,0683d23c53,357,3aa6f5cb05,607,250,f496a57cb7,696,e4c8b61e52,575
2026-07-30T12:02:50Z,2026-07-30,8,7032,3591,bb982ec711,711,b60f8ea5ba,714,8a5e795fef,711,0683d23c53,358,966a45f4fe,607,248,3c34da4f79,696,8a7924f80d,578
2026-07-31T12:07:04Z,2026-07-31,8,7041,3598,8dfcdde1d7,716,8fdcadda81,719,c6b8d14a5c,711,0af114031d,357,048170382a,608,246,3d664c7f69,696,d15862b6eb,578
